zip,county,area_codes,latitude,longitude,estimated_population
98851,Grant County,509,47.41,-119.43,3730
98852,Chelan County,"360, 509, 564",48.34,-120.7,85
98853,Grant County,509,47.44,-119.27,75
98855,Okanogan County,509,48.68,-119.3,5250
98856,Okanogan County,"360, 509, 564",48.32,-119.93,2510
98857,Grant County,509,47.01,-119.12,3670
98858,Douglas County,509,47.69,-119.88,1400
98859,Okanogan County,509,48.82,-118.95,210
98860,Grant County,509,47.46,-119.14,231
98862,Okanogan County,"360, 509, 564",48.5,-120.33,2690
98901,Yakima County,509,46.72,-120.41,26300
98902,Yakima County,509,46.59,-120.53,38830
98903,Yakima County,509,46.54,-120.76,16060
98904,Yakima County,509,46.6,-120.5,155
98907,Yakima County,509,46.59,-120.52,1827
98908,Yakima County,509,46.62,-120.69,35620
98909,Yakima County,509,46.54,-120.64,1589
98920,Yakima County,509,46.4,-120.6,226
98921,Yakima County,509,46.43,-120.32,953
98922,Kittitas County,"360, 509, 564",47.2,-120.9,6600
98923,Yakima County,509,46.67,-120.72,1340
98925,Kittitas County,"360, 425, 509, 564",47.35,-121.27,661
98926,Kittitas County,509,46.97,-120.47,25850
98929,Yakima County,509,46.88,-121.29,0
98930,Yakima County,509,46.26,-119.9,14830
98932,Yakima County,509,46.32,-120.15,5740
98933,Yakima County,509,46.4,-120.64,1270
98934,Kittitas County,509,46.98,-120.41,1163
98935,Yakima County,509,46.15,-120.09,3990
98936,Yakima County,509,46.52,-120.2,6730
